viewing_id,applicant_id,property_id,scheduled_at,status
V-1,A-DEMO-SARAH,P-DEMO-01,2026-08-09 10:00:00,completed
V-2,A-DEMO-SARAH,P-1143,2026-05-29 17:00:00,completed
V-3,A-DEMO-SARAH,P-1711,2026-05-12 11:00:00,completed
V-4,A-DEMO-SARAH,P-1217,2026-07-31 15:00:00,completed
V-5,A-DEMO-SARAH,P-1698,2026-07-31 17:00:00,completed
V-6,A-DEMO-SARAH,P-1144,2026-07-24 16:00:00,completed
V-7,A-1000,P-2795,2026-06-22 14:00:00,completed
V-8,A-1000,P-2983,2026-07-13 16:00:00,completed
V-9,A-1000,P-1333,2026-06-16 12:00:00,completed
V-10,A-1000,P-2337,2026-06-13 14:00:00,completed
V-11,A-1000,P-2109,2026-05-17 17:00:00,completed
V-12,A-1000,P-2335,2026-07-16 13:00:00,completed
V-13,A-1000,P-1724,2026-05-05 10:00:00,completed
V-14,A-1000,P-2893,2026-07-24 11:00:00,completed
V-15,A-1001,P-1936,2026-05-22 11:00:00,cancelled
V-16,A-1001,P-2304,2026-07-19 13:00:00,completed
V-17,A-1001,P-1912,2026-06-17 14:00:00,completed
V-18,A-1001,P-1810,2026-08-17 13:00:00,completed
V-19,A-1001,P-1030,2026-07-24 16:00:00,completed
V-20,A-1002,P-1043,2026-06-22 11:00:00,completed
V-21,A-1002,P-2926,2026-06-24 15:00:00,completed
V-22,A-1002,P-1210,2026-06-14 17:00:00,cancelled
V-23,A-1003,P-1145,2026-06-01 09:00:00,completed
V-24,A-1003,P-2092,2026-05-22 12:00:00,completed
V-25,A-1003,P-2443,2026-06-01 09:00:00,completed
V-26,A-1003,P-1063,2026-07-25 16:00:00,completed
V-27,A-1003,P-1954,2026-06-10 17:00:00,completed
V-28,A-1004,P-1032,2026-07-04 16:00:00,completed
V-29,A-1004,P-2705,2026-07-04 11:00:00,completed
V-30,A-1004,P-2040,2026-06-05 17:00:00,completed
V-31,A-1004,P-1598,2026-08-04 10:00:00,completed
V-32,A-1004,P-2387,2026-06-08 12:00:00,completed
V-33,A-1005,P-2094,2026-06-15 16:00:00,cancelled
V-34,A-1005,P-2619,2026-07-30 09:00:00,completed
V-35,A-1005,P-2723,2026-05-20 09:00:00,completed
V-36,A-1005,P-1272,2026-06-11 16:00:00,completed
V-37,A-1006,P-2765,2026-06-29 16:00:00,completed
V-38,A-1006,P-2129,2026-05-11 10:00:00,completed
V-39,A-1006,P-2640,2026-07-31 13:00:00,completed
V-40,A-1007,P-1353,2026-08-10 12:00:00,completed
V-41,A-1007,P-1148,2026-08-06 16:00:00,completed
V-42,A-1007,P-1629,2026-05-17 09:00:00,completed
