applicant_id,converted,intent_label
A-DEMO-SARAH,1,VERY_HIGH
A-1000,1,VERY_HIGH
A-1001,1,VERY_HIGH
A-1002,0,HIGH
A-1003,1,VERY_HIGH
A-1004,1,VERY_HIGH
A-1005,1,VERY_HIGH
A-1006,0,HIGH
A-1007,0,HIGH
A-1008,1,VERY_HIGH
A-1009,1,VERY_HIGH
A-1010,0,HIGH
A-1011,1,VERY_HIGH
A-1012,0,HIGH
A-1013,1,VERY_HIGH
A-1014,1,VERY_HIGH
A-1015,1,VERY_HIGH
A-1016,1,VERY_HIGH
A-1017,0,HIGH
A-1018,1,VERY_HIGH
A-1019,0,HIGH
A-1020,1,VERY_HIGH
A-1021,0,VERY_HIGH
A-1022,1,VERY_HIGH
A-1023,1,VERY_HIGH
A-1024,1,VERY_HIGH
A-1025,0,VERY_HIGH
A-1026,0,HIGH
A-1027,0,HIGH
A-1028,0,HIGH
A-1029,0,VERY_HIGH
A-1030,1,VERY_HIGH
A-1031,1,VERY_HIGH
A-1032,1,VERY_HIGH
A-1033,1,VERY_HIGH
A-1034,1,VERY_HIGH
A-1035,0,HIGH
A-1036,1,VERY_HIGH
A-1037,0,HIGH
A-1038,1,VERY_HIGH
A-1039,1,VERY_HIGH
A-1040,1,VERY_HIGH
A-1041,1,VERY_HIGH
A-1042,0,HIGH
A-1043,0,HIGH
A-1044,0,HIGH
A-1045,0,HIGH
A-1046,1,VERY_HIGH
A-1047,1,VERY_HIGH
A-1048,0,VERY_HIGH
A-1049,1,VERY_HIGH
A-1050,1,VERY_HIGH
A-1051,0,VERY_HIGH
A-1052,0,HIGH
A-1053,1,VERY_HIGH
A-1054,1,VERY_HIGH
A-1055,0,HIGH
A-1056,0,HIGH
A-1057,0,HIGH
A-1058,1,VERY_HIGH
A-1059,0,HIGH
A-1060,0,HIGH
A-1061,0,HIGH
A-1062,1,VERY_HIGH
A-1063,1,VERY_HIGH
A-1064,1,VERY_HIGH
A-1065,1,VERY_HIGH
A-1066,1,VERY_HIGH
A-1067,0,VERY_HIGH
A-1068,1,VERY_HIGH
A-1069,0,HIGH
A-1070,0,HIGH
A-1071,1,VERY_HIGH
A-1072,1,VERY_HIGH
A-1073,1,VERY_HIGH
A-1074,0,HIGH
A-1075,1,VERY_HIGH
A-1076,0,HIGH
A-1077,1,VERY_HIGH
A-1078,1,VERY_HIGH
A-1079,1,VERY_HIGH
A-1080,0,HIGH
A-1081,1,VERY_HIGH
A-1082,0,HIGH
A-1083,0,HIGH
A-1084,1,VERY_HIGH
A-1085,1,VERY_HIGH
A-1086,0,HIGH
A-1087,1,VERY_HIGH
A-1088,1,VERY_HIGH
A-1089,1,VERY_HIGH
A-1090,1,VERY_HIGH
A-1091,0,HIGH
A-1092,1,VERY_HIGH
A-1093,1,VERY_HIGH
A-1094,1,VERY_HIGH
A-1095,1,VERY_HIGH
A-1096,0,HIGH
A-1097,1,VERY_HIGH
A-1098,1,VERY_HIGH
A-1099,1,VERY_HIGH
A-1100,1,VERY_HIGH
A-1101,0,HIGH
A-1102,1,VERY_HIGH
A-1103,0,HIGH
A-1104,1,VERY_HIGH
A-1105,1,VERY_HIGH
A-1106,1,VERY_HIGH
A-1107,1,VERY_HIGH
A-1108,1,VERY_HIGH
A-1109,1,VERY_HIGH
A-1110,0,VERY_HIGH
A-1111,0,HIGH
A-1112,0,HIGH
A-1113,0,HIGH
A-1114,1,VERY_HIGH
A-1115,1,VERY_HIGH
A-1116,0,HIGH
A-1117,1,VERY_HIGH
A-1118,0,HIGH
A-1119,1,VERY_HIGH
A-1120,1,VERY_HIGH
A-1121,0,VERY_HIGH
A-1122,0,HIGH
A-1123,1,VERY_HIGH
A-1124,1,VERY_HIGH
A-1125,1,VERY_HIGH
A-1126,0,HIGH
A-1127,1,VERY_HIGH
A-1128,0,VERY_HIGH
A-1129,1,VERY_HIGH
A-1130,0,VERY_HIGH
A-1131,0,HIGH
A-1132,0,HIGH
A-1133,1,VERY_HIGH
A-1134,1,VERY_HIGH
A-1135,0,VERY_HIGH
A-1136,0,HIGH
A-1137,0,HIGH
A-1138,1,VERY_HIGH
A-1139,1,VERY_HIGH
A-1140,1,VERY_HIGH
A-1141,0,HIGH
A-1142,1,VERY_HIGH
A-1143,1,VERY_HIGH
A-1144,0,HIGH
A-1145,1,VERY_HIGH
A-1146,1,VERY_HIGH
A-1147,1,VERY_HIGH
A-1148,0,VERY_HIGH
A-1149,1,VERY_HIGH
A-1150,1,VERY_HIGH
A-1151,0,HIGH
A-1152,0,VERY_HIGH
A-1153,0,HIGH
A-1154,0,HIGH
A-1155,1,VERY_HIGH
A-1156,0,HIGH
A-1157,0,HIGH
A-1158,1,VERY_HIGH
A-1159,1,VERY_HIGH
A-1160,1,VERY_HIGH
A-1161,1,VERY_HIGH
A-1162,1,VERY_HIGH
A-1163,1,VERY_HIGH
A-1164,1,VERY_HIGH
A-1165,1,VERY_HIGH
A-1166,1,VERY_HIGH
A-1167,0,VERY_HIGH
A-1168,0,MEDIUM
A-1169,1,VERY_HIGH
A-1170,1,VERY_HIGH
A-1171,1,VERY_HIGH
A-1172,1,VERY_HIGH
A-1173,0,HIGH
A-1174,0,HIGH
A-1175,0,HIGH
A-1176,1,VERY_HIGH
A-1177,1,VERY_HIGH
A-1178,0,HIGH
A-1179,0,HIGH
A-1180,0,HIGH
A-1181,0,HIGH
A-1182,0,HIGH
A-1183,1,VERY_HIGH
A-1184,1,VERY_HIGH
A-1185,0,HIGH
A-1186,1,VERY_HIGH
A-1187,0,HIGH
A-1188,0,VERY_HIGH
A-1189,0,HIGH
A-1190,1,VERY_HIGH
A-1191,1,VERY_HIGH
A-1192,1,VERY_HIGH
A-1193,1,VERY_HIGH
A-1194,1,VERY_HIGH
A-1195,0,VERY_HIGH
A-1196,1,VERY_HIGH
A-1197,1,VERY_HIGH
A-1198,1,VERY_HIGH
A-1199,1,VERY_HIGH
A-1200,1,VERY_HIGH
A-1201,1,VERY_HIGH
A-1202,1,VERY_HIGH
A-1203,1,VERY_HIGH
A-1204,0,HIGH
A-1205,1,VERY_HIGH
A-1206,0,HIGH
A-1207,1,VERY_HIGH
A-1208,1,VERY_HIGH
A-1209,1,VERY_HIGH
A-1210,0,HIGH
A-1211,1,VERY_HIGH
A-1212,1,VERY_HIGH
A-1213,1,VERY_HIGH
A-1214,0,HIGH
A-1215,1,VERY_HIGH
A-1216,0,HIGH
A-1217,1,VERY_HIGH
A-1218,1,VERY_HIGH
A-1219,0,HIGH
A-1220,0,HIGH
A-1221,0,VERY_HIGH
A-1222,1,VERY_HIGH
A-1223,1,VERY_HIGH
A-1224,1,VERY_HIGH
A-1225,0,HIGH
A-1226,1,VERY_HIGH
A-1227,1,VERY_HIGH
A-1228,0,HIGH
A-1229,0,HIGH
A-1230,0,VERY_HIGH
A-1231,1,VERY_HIGH
A-1232,0,HIGH
A-1233,1,VERY_HIGH
A-1234,0,HIGH
A-1235,1,VERY_HIGH
A-1236,1,VERY_HIGH
A-1237,1,VERY_HIGH
A-1238,0,HIGH
A-1239,1,VERY_HIGH
A-1240,1,VERY_HIGH
A-1241,1,VERY_HIGH
A-1242,1,VERY_HIGH
A-1243,1,VERY_HIGH
A-1244,0,HIGH
A-1245,0,HIGH
A-1246,0,HIGH
A-1247,0,VERY_HIGH
A-1248,0,HIGH
A-1249,0,VERY_HIGH
A-1250,1,VERY_HIGH
A-1251,0,HIGH
A-1252,1,VERY_HIGH
A-1253,1,VERY_HIGH
A-1254,1,VERY_HIGH
A-1255,0,HIGH
A-1256,0,HIGH
A-1257,1,VERY_HIGH
A-1258,1,VERY_HIGH
A-1259,0,HIGH
A-1260,1,VERY_HIGH
A-1261,1,VERY_HIGH
A-1262,0,HIGH
A-1263,0,VERY_HIGH
A-1264,1,VERY_HIGH
A-1265,0,HIGH
A-1266,0,HIGH
A-1267,0,HIGH
A-1268,0,HIGH
A-1269,1,VERY_HIGH
A-1270,1,VERY_HIGH
A-1271,1,VERY_HIGH
A-1272,1,VERY_HIGH
A-1273,1,VERY_HIGH
A-1274,1,VERY_HIGH
A-1275,0,VERY_HIGH
A-1276,0,HIGH
A-1277,1,VERY_HIGH
A-1278,0,HIGH
A-1279,1,VERY_HIGH
A-1280,0,HIGH
A-1281,1,VERY_HIGH
A-1282,1,VERY_HIGH
A-1283,0,HIGH
A-1284,1,VERY_HIGH
A-1285,0,HIGH
A-1286,1,VERY_HIGH
A-1287,0,HIGH
A-1288,1,VERY_HIGH
A-1289,0,HIGH
A-1290,0,HIGH
A-1291,1,VERY_HIGH
A-1292,1,VERY_HIGH
A-1293,0,VERY_HIGH
A-1294,0,HIGH
A-1295,0,HIGH
A-1296,1,VERY_HIGH
A-1297,0,HIGH
A-1298,0,VERY_HIGH
A-1299,0,HIGH
A-1300,1,VERY_HIGH
A-1301,1,VERY_HIGH
A-1302,1,VERY_HIGH
A-1303,1,VERY_HIGH
A-1304,1,VERY_HIGH
A-1305,1,VERY_HIGH
A-1306,1,VERY_HIGH
A-1307,1,VERY_HIGH
A-1308,0,HIGH
A-1309,0,VERY_HIGH
A-1310,1,VERY_HIGH
A-1311,1,VERY_HIGH
A-1312,0,VERY_HIGH
A-1313,1,VERY_HIGH
A-1314,1,VERY_HIGH
A-1315,1,VERY_HIGH
A-1316,1,VERY_HIGH
A-1317,1,VERY_HIGH
A-1318,0,HIGH
A-1319,1,VERY_HIGH
A-1320,0,HIGH
A-1321,1,VERY_HIGH
A-1322,1,VERY_HIGH
A-1323,0,VERY_HIGH
A-1324,1,VERY_HIGH
A-1325,0,HIGH
A-1326,0,HIGH
A-1327,0,HIGH
A-1328,1,VERY_HIGH
A-1329,1,VERY_HIGH
A-1330,1,VERY_HIGH
A-1331,1,VERY_HIGH
A-1332,0,VERY_HIGH
A-1333,0,HIGH
A-1334,1,VERY_HIGH
A-1335,1,VERY_HIGH
A-1336,0,HIGH
A-1337,0,HIGH
A-1338,1,VERY_HIGH
A-1339,1,VERY_HIGH
A-1340,1,VERY_HIGH
A-1341,1,VERY_HIGH
A-1342,1,VERY_HIGH
A-1343,1,VERY_HIGH
A-1344,0,HIGH
A-1345,1,VERY_HIGH
A-1346,0,HIGH
A-1347,1,VERY_HIGH
A-1348,1,VERY_HIGH
A-1349,0,MEDIUM
A-1350,1,VERY_HIGH
A-1351,0,HIGH
A-1352,1,VERY_HIGH
A-1353,0,HIGH
A-1354,1,VERY_HIGH
A-1355,1,VERY_HIGH
A-1356,1,VERY_HIGH
A-1357,0,HIGH
A-1358,1,VERY_HIGH
A-1359,1,VERY_HIGH
A-1360,1,VERY_HIGH
A-1361,0,HIGH
A-1362,0,VERY_HIGH
A-1363,0,HIGH
A-1364,0,VERY_HIGH
A-1365,1,VERY_HIGH
A-1366,1,VERY_HIGH
A-1367,0,HIGH
A-1368,0,VERY_HIGH
A-1369,1,VERY_HIGH
A-1370,0,HIGH
A-1371,1,VERY_HIGH
A-1372,0,HIGH
A-1373,0,HIGH
A-1374,0,HIGH
A-1375,1,VERY_HIGH
A-1376,1,VERY_HIGH
A-1377,1,VERY_HIGH
A-1378,0,HIGH
A-1379,0,VERY_HIGH
A-1380,0,HIGH
A-1381,1,VERY_HIGH
A-1382,1,VERY_HIGH
A-1383,0,HIGH
A-1384,1,VERY_HIGH
A-1385,0,HIGH
A-1386,1,VERY_HIGH
A-1387,1,VERY_HIGH
A-1388,0,HIGH
A-1389,0,VERY_HIGH
A-1390,0,HIGH
A-1391,1,VERY_HIGH
A-1392,1,VERY_HIGH
A-1393,0,HIGH
A-1394,0,VERY_HIGH
A-1395,1,VERY_HIGH
A-1396,1,VERY_HIGH
A-1397,0,VERY_HIGH
A-1398,0,VERY_HIGH
A-1399,1,VERY_HIGH
A-1400,0,HIGH
A-1401,1,VERY_HIGH
A-1402,1,VERY_HIGH
A-1403,1,VERY_HIGH
A-1404,0,HIGH
A-1405,1,VERY_HIGH
A-1406,1,VERY_HIGH
A-1407,1,VERY_HIGH
A-1408,1,VERY_HIGH
A-1409,0,HIGH
A-1410,1,VERY_HIGH
A-1411,1,VERY_HIGH
A-1412,1,VERY_HIGH
A-1413,0,HIGH
A-1414,1,VERY_HIGH
A-1415,1,VERY_HIGH
A-1416,0,VERY_HIGH
A-1417,1,VERY_HIGH
A-1418,1,VERY_HIGH
A-1419,1,VERY_HIGH
A-1420,1,VERY_HIGH
A-1421,1,VERY_HIGH
A-1422,0,HIGH
A-1423,0,HIGH
A-1424,1,VERY_HIGH
A-1425,1,VERY_HIGH
A-1426,0,HIGH
