property_id,postcode,city,area,property_type,bedrooms,bathrooms,rent_pcm,sale_price,size_sqft,furnished,parking,garden,balcony,pets_allowed,available_date,amenities,description,latitude,longitude
P-DEMO-01,E14 5AB,London,Canary Wharf,flat,2,2,2675,,780,True,False,False,True,False,2026-09-01,transport|balcony|concierge|gym|river-view,"Modern furnished two-bedroom apartment in Canary Wharf with balcony, concierge, gym and strong transport links.",51.5058,-0.0222
P-DEMO-02,E20 1CD,London,Stratford,flat,2,1,2525,,735,True,False,False,True,True,2026-08-28,transport|balcony|workspace|gym,"Bright two-bedroom Stratford flat below Sarah's budget ceiling, close to Elizabeth line and local amenities.",51.5411,-0.004
P-1000,CR0 2GJ,London,Croydon,flat,2,2,2325,,965,True,True,False,True,False,2026-08-04,balcony|concierge|parking|transport|workspace,"A well-presented 2-bed flat in Croydon priced at £2325 pcm. Highlights include balcony, concierge, parking, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.379548,-0.080011
P-1001,EC2A 1CP,London,Shoreditch,flat,2,2,3750,,983,True,False,False,True,True,2026-09-05,balcony|pet-friendly|school,"A well-presented 2-bed flat in Shoreditch priced at £3750 pcm. Highlights include balcony, pet-friendly, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.518039,-0.083483
P-1002,N1 8BM,London,Islington,flat,1,1,2550,,756,False,False,False,False,True,2026-10-02,concierge|gym|pet-friendly|transport|workspace,"A well-presented 1-bed flat in Islington priced at £2550 pcm. Highlights include concierge, gym, pet-friendly, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.556297,-0.13323
P-1003,N1 4BM,London,Islington,house,1,1,3000,,567,True,True,True,True,True,2026-09-20,balcony|gym|parking|transport|workspace,"A well-presented 1-bed house in Islington priced at £3000 pcm. Highlights include balcony, gym, parking, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.564088,-0.109864
P-1004,CR0 3DK,London,Croydon,house,1,1,2850,,711,True,True,False,True,False,2026-09-10,balcony|parking|school|workspace,"A well-presented 1-bed house in Croydon priced at £2850 pcm. Highlights include balcony, parking, school, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.377667,-0.107478
P-1005,N1 6GL,London,Islington,maisonette,1,1,3075,,656,True,True,False,True,True,2026-08-20,balcony|parking|pet-friendly|transport,"A well-presented 1-bed maisonette in Islington priced at £3075 pcm. Highlights include balcony, parking, pet-friendly, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.53928,-0.072459
P-1006,SW19 9EP,London,Wimbledon,house,1,2,2900,,679,True,True,True,True,True,2026-09-16,balcony|parking|pet-friendly|river-view|workspace,"A well-presented 1-bed house in Wimbledon priced at £2900 pcm. Highlights include balcony, parking, pet-friendly, river-view, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.418647,-0.199392
P-1007,SW19 7BM,London,Wimbledon,flat,2,2,3525,,783,False,False,False,True,True,2026-10-08,concierge|river-view|school|transport,"A well-presented 2-bed flat in Wimbledon priced at £3525 pcm. Highlights include concierge, river-view, school, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.405462,-0.202856
P-1008,SW3 1EN,London,Chelsea,flat,4,3,5975,,1530,False,False,True,True,True,2026-09-26,garden|gym|school,"A well-presented 4-bed flat in Chelsea priced at £5975 pcm. Highlights include garden, gym, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.475391,-0.197199
P-1009,E20 6HJ,London,Stratford,house,1,1,2650,,764,True,False,False,True,True,2026-09-08,balcony|concierge|gym|river-view|school,"A well-presented 1-bed house in Stratford priced at £2650 pcm. Highlights include balcony, concierge, gym, river-view, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.545423,-0.035035
P-1010,SW4 9CK,London,Clapham,flat,1,2,3425,,751,False,False,False,True,False,2026-09-22,balcony|gym|school,"A well-presented 1-bed flat in Clapham priced at £3425 pcm. Highlights include balcony, gym, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.473332,-0.12441
P-1011,SW6 5GP,London,Fulham,studio,0,1,3075,,655,False,False,True,False,True,2026-09-09,garden|gym|pet-friendly|school,"A well-presented 0-bed studio in Fulham priced at £3075 pcm. Highlights include garden, gym, pet-friendly, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.483975,-0.17744
P-1012,SW3 2AK,London,Chelsea,house,1,1,4575,,647,True,False,True,True,True,2026-07-28,balcony|concierge|gym|pet-friendly|school|transport,"A well-presented 1-bed house in Chelsea priced at £4575 pcm. Highlights include balcony, concierge, gym, pet-friendly, school, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.501657,-0.184868
P-1013,NW1 8DM,London,Camden,flat,2,2,3600,,1020,True,False,True,True,False,2026-08-17,balcony|garden|river-view|workspace,"A well-presented 2-bed flat in Camden priced at £3600 pcm. Highlights include balcony, garden, river-view, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.54334,-0.154212
P-1014,E20 2AM,London,Stratford,flat,3,3,4025,,1227,True,True,False,True,True,2026-09-05,balcony|parking|pet-friendly|school|transport|workspace,"A well-presented 3-bed flat in Stratford priced at £4025 pcm. Highlights include balcony, parking, pet-friendly, school, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.581768,-0.019867
P-1015,SW4 8BJ,London,Clapham,house,2,3,3725,,916,True,False,True,True,False,2026-10-01,balcony|gym|river-view|workspace,"A well-presented 2-bed house in Clapham priced at £3725 pcm. Highlights include balcony, gym, river-view, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.463701,-0.173776
P-1016,E14 1CM,London,Canary Wharf,maisonette,3,3,4000,,1080,True,False,False,True,True,2026-09-11,balcony|concierge|pet-friendly|river-view,"A well-presented 3-bed maisonette in Canary Wharf priced at £4000 pcm. Highlights include balcony, concierge, pet-friendly, river-view. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.495929,-0.010113
P-1017,N1 1FJ,London,Islington,studio,0,1,2600,,639,True,True,True,False,True,2026-10-06,concierge|garden|gym|pet-friendly|river-view|school,"A well-presented 0-bed studio in Islington priced at £2600 pcm. Highlights include concierge, garden, gym, pet-friendly, river-view, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.557485,-0.099882
P-1018,SW3 4GJ,London,Chelsea,flat,3,3,5850,,1214,True,False,False,False,True,2026-08-24,gym|pet-friendly|school|transport,"A well-presented 3-bed flat in Chelsea priced at £5850 pcm. Highlights include gym, pet-friendly, school, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.483789,-0.156584
P-1019,SW19 6DL,London,Wimbledon,flat,1,1,2925,,562,False,True,False,True,True,2026-08-09,parking|pet-friendly|school,"A well-presented 1-bed flat in Wimbledon priced at £2925 pcm. Highlights include parking, pet-friendly, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.424953,-0.201701
P-1020,CR0 2BN,London,Croydon,studio,0,1,1050,,707,True,True,False,True,False,2026-09-26,balcony|gym|parking|river-view|transport,"A well-presented 0-bed studio in Croydon priced at £1050 pcm. Highlights include balcony, gym, parking, river-view, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.371454,-0.103404
P-1021,N1 5AP,London,Islington,flat,1,2,3200,,712,True,True,False,True,False,2026-08-31,balcony|concierge|gym|parking|workspace,"A well-presented 1-bed flat in Islington priced at £3200 pcm. Highlights include balcony, concierge, gym, parking, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.569134,-0.102658
P-1022,CR0 6DP,London,Croydon,flat,2,3,2600,,806,True,True,True,True,False,2026-08-26,garden|gym|parking|school,"A well-presented 2-bed flat in Croydon priced at £2600 pcm. Highlights include garden, gym, parking, school. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.36333,-0.116067
P-1023,SW6 3EK,London,Fulham,studio,0,1,3325,,877,True,True,True,True,False,2026-09-18,balcony|concierge|garden|gym|parking|transport,"A well-presented 0-bed studio in Fulham priced at £3325 pcm. Highlights include balcony, concierge, garden, gym, parking, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.477692,-0.189572
P-1024,SW6 3AL,London,Fulham,flat,1,1,3825,,679,True,False,False,False,True,2026-07-29,concierge|gym|workspace,"A well-presented 1-bed flat in Fulham priced at £3825 pcm. Highlights include concierge, gym, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.489208,-0.215696
P-1025,NW1 4CK,London,Camden,flat,3,3,4250,,1127,False,True,True,False,True,2026-07-27,garden|gym|parking|pet-friendly,"A well-presented 3-bed flat in Camden priced at £4250 pcm. Highlights include garden, gym, parking, pet-friendly. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.555834,-0.167833
P-1026,SE10 1HK,London,Greenwich,house,2,2,2875,,946,True,True,True,True,True,2026-09-20,balcony|garden|gym|parking|pet-friendly,"A well-presented 2-bed house in Greenwich priced at £2875 pcm. Highlights include balcony, garden, gym, parking, pet-friendly. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.476679,0.008917
P-1027,NW1 5FP,London,Camden,flat,1,2,3200,,639,True,False,False,True,False,2026-09-13,balcony|river-view|transport|workspace,"A well-presented 1-bed flat in Camden priced at £3200 pcm. Highlights include balcony, river-view, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.520392,-0.141366
P-1028,CR0 6GN,London,Croydon,maisonette,2,3,2750,,866,False,False,True,True,False,2026-08-07,garden|gym|river-view|school|transport,"A well-presented 2-bed maisonette in Croydon priced at £2750 pcm. Highlights include garden, gym, river-view, school, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.383647,-0.101097
P-1029,E8 4FM,London,Hackney,house,1,1,2725,,654,True,False,True,False,True,2026-10-17,garden|pet-friendly|school|transport,"A well-presented 1-bed house in Hackney priced at £2725 pcm. Highlights include garden, pet-friendly, school, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.554762,-0.077456
P-1030,NW1 4GP,London,Camden,flat,3,3,4400,,1403,True,False,True,False,False,2026-10-18,garden|school|workspace,"A well-presented 3-bed flat in Camden priced at £4400 pcm. Highlights include garden, school, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.535106,-0.146306
P-1031,SW11 8HP,London,Battersea,house,3,3,4550,,1262,True,False,False,True,True,2026-09-27,concierge|pet-friendly|school|transport|workspace,"A well-presented 3-bed house in Battersea priced at £4550 pcm. Highlights include concierge, pet-friendly, school, transport, workspace. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.448957,-0.191468
P-1032,SW3 4DK,London,Chelsea,house,2,2,5225,,1037,False,True,True,False,False,2026-07-29,garden|gym|parking|transport,"A well-presented 2-bed house in Chelsea priced at £5225 pcm. Highlights include garden, gym, parking, transport. Suitable for applicants prioritising practical access, clear tenancy terms and responsive management.",51.490215,-0.153447
