feedback_id,viewing_id,applicant_id,property_id,timestamp,rating,sentiment,objections,comments
F-1,V-1,A-DEMO-SARAH,P-DEMO-01,2026-08-09 13:00:00,5,0.85,PRICE|TERMS,"Sarah liked the Canary Wharf location, balcony, gym and concierge, but asked for clarity on tenancy terms and value versus budget."
F-2,V-2,A-DEMO-SARAH,P-1143,2026-05-23 17:00:00,3,0.0,PRICE,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-3,V-3,A-DEMO-SARAH,P-1711,2026-05-08 11:00:00,5,1.0,PRICE,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-4,V-4,A-DEMO-SARAH,P-1217,2026-07-23 15:00:00,3,0.0,PRICE,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-5,V-5,A-DEMO-SARAH,P-1698,2026-07-30 17:00:00,5,1.0,PRICE,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-6,V-6,A-DEMO-SARAH,P-1144,2026-07-25 16:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Canary Wharf location, with questions about tenancy terms."
F-7,V-7,A-1000,P-2795,2026-06-17 14:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Chelsea location, with questions about tenancy terms."
F-8,V-8,A-1000,P-2983,2026-07-06 16:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Clapham location, with questions about tenancy terms."
F-9,V-9,A-1000,P-1333,2026-06-15 12:00:00,4,0.5,PRICE,"Positive viewing feedback. Applicant liked the layout and Chelsea location, with questions about tenancy terms."
F-10,V-10,A-1000,P-2337,2026-06-11 14:00:00,2,-0.5,CONDITION|TERMS,Applicant had reservations and asked for better matching alternatives.
F-11,V-11,A-1000,P-2109,2026-05-11 17:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Clapham location, with questions about tenancy terms."
F-12,V-12,A-1000,P-2335,2026-07-14 13:00:00,3,0.0,PRICE|TRANSPORT,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-13,V-13,A-1000,P-1724,2026-05-03 10:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Clapham location, with questions about tenancy terms."
F-14,V-14,A-1000,P-2893,2026-07-19 11:00:00,4,0.5,,"Positive viewing feedback. Applicant liked the layout and Clapham location, with questions about tenancy terms."
F-15,V-16,A-1001,P-2304,2026-07-16 13:00:00,5,1.0,TRANSPORT,"Positive viewing feedback. Applicant liked the layout and Camden location, with questions about tenancy terms."
F-16,V-17,A-1001,P-1912,2026-06-16 14:00:00,3,0.0,,Applicant had reservations and asked for better matching alternatives.
F-17,V-18,A-1001,P-1810,2026-08-11 13:00:00,5,1.0,,"Positive viewing feedback. Applicant liked the layout and Camden location, with questions about tenancy terms."
F-18,V-19,A-1001,P-1030,2026-07-22 16:00:00,3,0.0,PRICE|TRANSPORT,Applicant liked aspects of the property but raised price sensitivity versus budget.
F-19,V-20,A-1002,P-1043,2026-06-18 11:00:00,2,-0.5,PRICE|AREA,Applicant liked aspects of the property but raised price sensitivity versus budget.
